,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
34,>=200 DM,12,Existing credits paid duly till now,furnitures,1474,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
35,<200 DM,45,Has credits in other banks,radio/TV,4746,<100 DM,employed under 1 year,4,male single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,none,yes,2
36,No account,48,Has credits in other banks,education,6110,<100 DM,employed from 1 to 4 years,1,male single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,1
37,>=200 DM,18,Existing credits paid duly till now,radio/TV,2100,<100 DM,employed from 1 to 4 years,4,male single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,none,yes,2
38,>=200 DM,10,Existing credits paid duly till now,household appliances,1225,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,1,yes,yes,1
39,<200 DM,9,Existing credits paid duly till now,radio/TV,458,<100 DM,employed from 1 to 4 years,4,male single,none,3,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
40,No account,30,Existing credits paid duly till now,radio/TV,2333,500-1000 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",30,bank,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
41,<200 DM,12,Existing credits paid duly till now,radio/TV,1158,500-1000 DM,employed from 1 to 4 years,3,male divorced/separated,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,yes,yes,1
42,<200 DM,18,Delay in paying in past,repairs,6204,<100 DM,employed from 1 to 4 years,2,male single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1
43,0 DM,30,Has credits in other banks,used car,6187,100-500 DM,employed from 4 to 7 years,1,male married/widowed,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee/official,1,none,yes,1
44,0 DM,48,Has credits in other banks,used car,6143,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,none,yes,2
45,No account,11,Has credits in other banks,new car,1393,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",35,none,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,1
46,No account,36,Existing credits paid duly till now,radio/TV,2299,500-1000 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee/official,1,none,yes,1
47,0 DM,6,Existing credits paid duly till now,used car,1352,500-1000 DM,unemployed,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1
48,No account,11,Has credits in other banks,new car,7228,<100 DM,employed from 1 to 4 years,1,male single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,1
49,No account,12,Existing credits paid duly till now,radio/TV,2073,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
50,<200 DM,24,Delay in paying in past,furnitures,2333,Unknown/No savings,employed under 1 year,4,male single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,none,yes,1
51,<200 DM,27,Delay in paying in past,used car,5965,<100 DM,employed 7 years or more,1,male single,none,2,"car or other, not in attribute 6",30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
52,No account,12,Existing credits paid duly till now,radio/TV,1262,<100 DM,employed from 1 to 4 years,3,male single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee/official,1,none,yes,1
53,No account,18,Existing credits paid duly till now,used car,3378,Unknown/No savings,employed from 1 to 4 years,2,male single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,1
54,<200 DM,36,Delay in paying in past,new car,2225,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,2
55,No account,6,All credits paid duly,new car,783,Unknown/No savings,employed from 1 to 4 years,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,1
56,<200 DM,12,Existing credits paid duly till now,radio/TV,6468,Unknown/No savings,unemployed,2,male single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
57,No account,36,Has credits in other banks,radio/TV,9566,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee/official,1,none,yes,1
58,>=200 DM,18,Existing credits paid duly till now,new car,1961,<100 DM,employed 7 years or more,3,female divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
59,0 DM,36,Has credits in other banks,furnitures,6229,<100 DM,employed under 1 year,4,female divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,2
60,<200 DM,9,Existing credits paid duly till now,business,1391,<100 DM,employed from 1 to 4 years,2,male married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,1
61,<200 DM,15,Has credits in other banks,radio/TV,1537,Unknown/No savings,employed 7 years or more,4,male single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,1
62,<200 DM,36,No credits taken,business,1953,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
63,<200 DM,48,No credits taken,business,14421,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee/official,1,yes,yes,2
64,No account,24,Existing credits paid duly till now,radio/TV,3181,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1
65,No account,27,Existing credits paid duly till now,repairs,5190,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,1
66,No account,12,Existing credits paid duly till now,radio/TV,2171,<100 DM,employed under 1 year,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee/official,1,none,yes,1
67,<200 DM,12,Existing credits paid duly till now,new car,1007,>1000 DM,employed from 1 to 4 years,4,male married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,1
68,No account,36,Existing credits paid duly till now,education,1819,<100 DM,employed from 1 to 4 years,4,male single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,2
69,No account,36,Existing credits paid duly till now,radio/TV,2394,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee/official,1,none,yes,1
70,No account,36,Existing credits paid duly till now,used car,8133,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,none,yes,1
71,No account,7,Has credits in other banks,radio/TV,730,Unknown/No savings,employed 7 years or more,4,male single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1
72,0 DM,8,Has credits in other banks,others,1164,<100 DM,employed 7 years or more,3,male single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
73,<200 DM,42,Has credits in other banks,business,5954,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,1
74,0 DM,36,Existing credits paid duly till now,education,1977,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
75,0 DM,12,Has credits in other banks,used car,1526,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,none,yes,1
76,0 DM,42,Existing credits paid duly till now,radio/TV,3965,<100 DM,employed under 1 year,4,male single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,1,none,yes,2
77,<200 DM,11,Delay in paying in past,radio/TV,4771,<100 DM,employed from 4 to 7 years,2,male single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,none,yes,1
78,No account,54,No credits taken,used car,9436,Unknown/No savings,employed from 1 to 4 years,2,male single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,1
79,<200 DM,30,Existing credits paid duly till now,furnitures,3832,<100 DM,employed under 1 year,2,male married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,none,yes,1
80,No account,24,Existing credits paid duly till now,radio/TV,5943,Unknown/No savings,employed under 1 year,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee/official,1,yes,yes,2
81,No account,15,Existing credits paid duly till now,radio/TV,1213,500-1000 DM,employed 7 years or more,4,male single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,1
82,No account,18,Existing credits paid duly till now,business,1568,100-500 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,yes,1
83,0 DM,24,Existing credits paid duly till now,others,1755,<100 DM,employed 7 years or more,4,female divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1
84,0 DM,10,Existing credits paid duly till now,radio/TV,2315,<100 DM,employed 7 years or more,3,male single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,1
85,No account,12,Has credits in other banks,business,1412,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
86,<200 DM,18,Has credits in other banks,furnitures,1295,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
87,<200 DM,36,Existing credits paid duly till now,education,12612,100-500 DM,employed from 1 to 4 years,1,male single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,2
88,0 DM,18,Existing credits paid duly till now,new car,2249,100-500 DM,employed from 4 to 7 years,4,male single,none,3,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
89,0 DM,12,No credits taken,repairs,1108,<100 DM,employed from 4 to 7 years,4,male single,none,3,real estate,28,none,own,2,skilled employee/official,1,none,yes,2
90,No account,12,Has credits in other banks,radio/TV,618,<100 DM,employed 7 years or more,4,male single,none,4,real estate,56,none,own,1,skilled employee/official,1,none,yes,1
91,0 DM,12,Has credits in other banks,used car,1409,<100 DM,employed 7 years or more,4,male single,none,3,real estate,54,none,own,1,skilled employee/official,1,none,yes,1
92,No account,12,Has credits in other banks,radio/TV,797,Unknown/No savings,employed 7 years or more,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,none,yes,2
93,>=200 DM,24,Has credits in other banks,furnitures,3617,Unknown/No savings,employed 7 years or more,4,male single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,none,yes,1
94,<200 DM,12,Existing credits paid duly till now,new car,1318,>1000 DM,employed 7 years or more,4,male single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,1
95,<200 DM,54,No credits taken,business,15945,<100 DM,employed under 1 year,3,male single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,2
96,No account,12,Has credits in other banks,education,2012,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee/official,1,none,yes,1
97,<200 DM,18,Existing credits paid duly till now,business,2622,100-500 DM,employed from 1 to 4 years,4,male single,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,1,none,yes,1
98,<200 DM,36,Has credits in other banks,radio/TV,2337,<100 DM,employed 7 years or more,4,male single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes,1
99,<200 DM,20,Delay in paying in past,used car,7057,Unknown/No savings,employed from 4 to 7 years,3,male single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
100,No account,24,Existing credits paid duly till now,new car,1469,100-500 DM,employed 7 years or more,4,male married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,1
101,<200 DM,36,Existing credits paid duly till now,radio/TV,2323,<100 DM,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee/official,1,none,yes,1
102,No account,6,Delay in paying in past,radio/TV,932,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
103,<200 DM,9,Has credits in other banks,furnitures,1919,<100 DM,employed from 4 to 7 years,4,male single,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee/official,1,yes,yes,1
104,No account,12,Existing credits paid duly till now,used car,2445,Unknown/No savings,employed under 1 year,2,male married/widowed,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee/official,1,yes,yes,1
105,<200 DM,24,Has credits in other banks,others,11938,<100 DM,employed from 1 to 4 years,2,male single,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,2
106,No account,18,All credits paid duly,new car,6458,<100 DM,employed 7 years or more,2,male single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,2
107,<200 DM,12,Existing credits paid duly till now,new car,6078,<100 DM,employed from 4 to 7 years,2,male single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee/official,1,none,yes,1
108,0 DM,24,Existing credits paid duly till now,furnitures,7721,Unknown/No savings,employed under 1 year,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,1
109,<200 DM,14,Existing credits paid duly till now,business,1410,500-1000 DM,employed 7 years or more,1,male married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,1
110,<200 DM,6,Delay in paying in past,business,1449,100-500 DM,employed 7 years or more,1,male divorced/separated,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee/official,2,none,yes,1
111,>=200 DM,15,Existing credits paid duly till now,education,392,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,1
112,<200 DM,18,Existing credits paid duly till now,new car,6260,<100 DM,employed from 4 to 7 years,3,male single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,1
113,No account,36,Has credits in other banks,new car,7855,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,2
114,0 DM,12,Existing credits paid duly till now,radio/TV,1680,500-1000 DM,employed 7 years or more,3,male married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,none,yes,1
115,No account,48,Has credits in other banks,radio/TV,3578,Unknown/No savings,employed 7 years or more,4,male single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,1
116,0 DM,42,Existing credits paid duly till now,radio/TV,7174,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
117,0 DM,10,Has credits in other banks,furnitures,2132,Unknown/No savings,employed under 1 year,2,female divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,none,no,1
118,0 DM,33,Has credits in other banks,furnitures,4281,500-1000 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee/official,1,none,yes,2
119,<200 DM,12,Has credits in other banks,new car,2366,500-1000 DM,employed from 4 to 7 years,3,male divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
120,0 DM,21,Existing credits paid duly till now,radio/TV,1835,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,yes,yes,2
121,No account,24,Has credits in other banks,used car,3868,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
122,No account,12,Existing credits paid duly till now,furnitures,1768,<100 DM,employed from 1 to 4 years,3,male single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,1
123,>=200 DM,10,Has credits in other banks,new car,781,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,63,none,for free,2,skilled employee/official,1,yes,yes,1
124,<200 DM,18,Existing credits paid duly till now,furnitures,1924,Unknown/No savings,employed under 1 year,4,female divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,none,yes,2
125,0 DM,12,Has credits in other banks,new car,2121,<100 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,none,yes,1
126,0 DM,12,Existing credits paid duly till now,radio/TV,701,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,1
127,<200 DM,12,Existing credits paid duly till now,repairs,639,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee/official,1,none,yes,2
128,<200 DM,12,Has credits in other banks,used car,1860,<100 DM,unemployed,4,male single,none,2,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
129,0 DM,12,Has credits in other banks,new car,3499,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,none,yes,2
130,<200 DM,48,Existing credits paid duly till now,new car,8487,Unknown/No savings,employed from 4 to 7 years,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,1
131,0 DM,36,Delay in paying in past,education,6887,<100 DM,employed from 1 to 4 years,4,male single,none,3,building society savings agreement/life insurance,29,stores,own,1,skilled employee/official,1,yes,yes,2
132,No account,15,Existing credits paid duly till now,furnitures,2708,<100 DM,employed under 1 year,2,male single,none,3,building society savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,none,yes,1
133,No account,18,Existing credits paid duly till now,furnitures,1984,<100 DM,employed from 1 to 4 years,4,male single,none,4,unknown/no property,47,bank,for free,2,skilled employee/official,1,none,yes,1
134,No account,60,Existing credits paid duly till now,radio/TV,10144,100-500 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,yes,yes,1
135,No account,12,Has credits in other banks,radio/TV,1240,Unknown/No savings,employed 7 years or more,4,female divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,yes,yes,1
136,No account,27,Delay in paying in past,used car,8613,>1000 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,1
137,<200 DM,12,Existing credits paid duly till now,radio/TV,766,500-1000 DM,employed from 1 to 4 years,4,male single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,2
138,<200 DM,15,Has credits in other banks,radio/TV,2728,Unknown/No savings,employed from 4 to 7 years,4,male single,guarantor,2,real estate,35,bank,own,3,skilled employee/official,1,yes,yes,1
139,>=200 DM,12,Existing credits paid duly till now,radio/TV,1881,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,yes,yes,1
140,>=200 DM,6,Existing credits paid duly till now,new car,709,>1000 DM,employed under 1 year,2,male married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,none,no,1
141,<200 DM,36,Existing credits paid duly till now,radio/TV,4795,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,unknown/no property,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
142,0 DM,27,Existing credits paid duly till now,radio/TV,3416,<100 DM,employed from 1 to 4 years,3,male single,none,2,"car or other, not in attribute 6",27,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
143,0 DM,18,Existing credits paid duly till now,furnitures,2462,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee/official,1,none,yes,2
144,No account,21,Has credits in other banks,furnitures,2288,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,yes,yes,1
145,<200 DM,48,All credits paid duly,business,3566,100-500 DM,employed from 4 to 7 years,4,male single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee/official,1,none,yes,1
146,0 DM,6,Has credits in other banks,new car,860,<100 DM,employed 7 years or more,1,female divorced/separated/married,none,4,unknown/no property,39,none,own,2,skilled employee/official,1,yes,yes,1
147,No account,12,Has credits in other banks,new car,682,100-500 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",51,none,own,2,skilled employee/official,1,yes,yes,1
